original_reference,original_ref_checked,non_original_reference,habitat_naturality,biome,species,mycorrhiza type,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,consensus_mycorrhizal_state
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Juglans mandshurica,AM; no others,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Juglans nigra,AM; no others,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,tundra biome,Larix gmelinii,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Larix gmelinii,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Larix gmelinii,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Larix gmelinii,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Larix gmelinii,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Larix gmelinii,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Liquidambar styraciflua,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Liriodendron chinense,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Liriodendron tulipifera,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Liriodendron tulipifera,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Magnolia grandiflora,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Magnolia kobus,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Magnolia tripetala,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Magnolia virginiana,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Malus baccata,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Malus baccata,non-mycorrhizal (checked for all types),,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Matteuccia struthiopteris,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Phellodendron amurense,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Phellodendron amurense,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Phellodendron amurense,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,,,Phellodendron amurense,non-mycorrhizal (checked for all types),,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Phellodendron amurense,AM; no others,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Picea wilsonii,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Pinus armandii,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Pinus strobus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Pinus strobus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Pinus strobus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Pinus strobus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Pinus strobus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Pinus virginiana,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Populus deltoides,AM; others not addressed,,Leho Tedersoo,misleading report from EcM perspective (this genus is EcM-AM),,,,,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Populus deltoides,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Populus tremula,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM-AM
